gene,max
0610007P08Rik,Astrocytes
0610030E20Rik,Astrocytes
1110012D08Rik,Astrocytes
1110020G09Rik,Astrocytes
1110021L09Rik,Astrocytes
1110032F04Rik,Astrocytes
1110038D17Rik,Astrocytes
1110054M08Rik,Astrocytes
1190005F20Rik,Astrocytes
1300001I01Rik,Astrocytes
1300002E11Rik,Astrocytes
1300010F03Rik,Astrocytes
1520402A15Rik,Astrocytes
1600012H06Rik,Astrocytes
1600020E01Rik,Astrocytes
1600027N09Rik,Astrocytes
1700003M07Rik,Astrocytes
1700007K13Rik,Astrocytes
1700019G17Rik,Astrocytes
1700027L20Rik,Astrocytes
1700029J07Rik,Astrocytes
1700045I19Rik,Astrocytes
1700084C01Rik,Astrocytes
1700088E04Rik,Astrocytes
1700094D03Rik,Astrocytes
1810013L24Rik,Astrocytes
1810026B05Rik,Astrocytes
1810074P20Rik,Astrocytes
2010011I20Rik,Astrocytes
2210018M11Rik,Astrocytes
2210403K04Rik,Astrocytes
2210404J11Rik,Astrocytes
2210408I21Rik,Astrocytes
2310022B05Rik,Astrocytes
2310069G16Rik,Astrocytes
2410002I01Rik,Astrocytes
2410004P03Rik,Astrocytes
2610005L07Rik,Astrocytes
2610015P09Rik,Astrocytes
2610017I09Rik,Astrocytes
2610034M16Rik,Astrocytes
2610044O15Rik,Astrocytes
2610100L16Rik,Astrocytes
2610101N10Rik,Astrocytes
2610203C20Rik,Astrocytes
2610507B11Rik,Astrocytes
2610507I01Rik,Astrocytes
2700049A03Rik,Astrocytes
2700050L05Rik,Astrocytes
2700097O09Rik,Astrocytes
2700099C18Rik,Astrocytes
2810008D09Rik,Astrocytes
2810030E01Rik,Astrocytes
2810046L04Rik,Astrocytes
2810055G20Rik,Astrocytes
2810403A07Rik,Astrocytes
2810459M11Rik,Astrocytes
2810474O19Rik,Astrocytes
2900005J15Rik,Astrocytes
2900052N01Rik,Astrocytes
2900092D14Rik,Astrocytes
3110057O12Rik,Astrocytes
3110082D06Rik,Astrocytes
4632411B12Rik,Astrocytes
4833420G17Rik,Astrocytes
4921513D23Rik,Astrocytes
4922501C03Rik,Astrocytes
4930422G04Rik,Astrocytes
4930430F08Rik,Astrocytes
4931406C07Rik,Astrocytes
4932438A13Rik,Astrocytes
4932438H23Rik,Astrocytes
4933403F05Rik,Astrocytes
4933404M02Rik,Astrocytes
4933407H18Rik,Astrocytes
4933407K13Rik,Astrocytes
4933411K20Rik,Astrocytes
