Geno.Strain,Sex,Genotype,Age,SampleID,Strain,Gender.Mean,Genotype,Age,Strain_Sex_Age_Geno,ELISA,Ymaze.Distance,Ymaze.TotalArms,Ymaze.SponAlt,Weight,Narrow.Beam,Incline.Screen,Grip.Strength,SM.Composite,EPM.Distance,EPM.TotalArms,EPM.PercenOpenEntries,EPM.PercenOpenTime,CFC.Baseline,CFC.PS4,CFC.AcqSlope,CFC.CFM,Decline.score.WM.Mean,Decline.Slope.WM.Mean,AAO.Mean,Decline.score.CFM
BXD44,0,5,14,A1,44,0,5,14,44_0_14_5,689.0666667,8.189846154,17.61538462,57.15384615,27.54615385,55.29,54.2675,-1.783888889,4.76102848,5.911166667,11.83333333,33.25,25.91666667,2.283076923,33.51846154,1.401615385,25.16846154,-7.777777778,-0.057289945,10.61538462,-24.13153846
C57BL.6J,1,5,14,A10,B6,1,5,14,B6_1_14_5,562.1872396,12.69276471,26.29411765,51.58823529,30.64117647,90.66575758,38.47272727,-1.820100909,4.448572599,4.47915625,9.96875,54.34375,47.75,3.306666667,36.59222222,1.553037038,49.32148148,-19,0.444222644,14.90322581,-24.32566138
DBA.2J,0,5,6,A11,D2,0,5,6,D2_0_6_5,44.0421875,15.8164,32.4,61.46666667,27.82307692,58.86708333,23.27270833,-2.934375,0.734857025,6.4836875,11,17.5,6.3125,1.18375,34.786875,6.9145,41.28625,-16,-0.124020285,13.77777778,-33.17683824
DBA.2J,0,0,6,A12,D2,0,0,6,D2_0_6_0,,12.74915385,26.46153846,61.23076923,30.88333333,20.92128205,16.63487179,-2.91974359,-0.394114164,5.977692308,9.076923077,13.38461538,5.384615385,0.637272727,45.03090909,13.67618182,23.36454545,-25,0.185684594,12.85714286,1.346287879
DBA.2J,0,0,14,A13,D2,0,0,14,D2_0_14_0,,10.88721429,25.57142857,48.21428571,35.51428571,27.61615385,20.34538462,-1.807435897,2.128087123,5.042615385,7.384615385,11.76923077,3.384615385,0.5475,49.6475,14.38191667,24.71083333,-25,0.185684594,12.85714286,1.346287879
DBA.2J,0,5,14,A14,D2,0,5,14,D2_0_14_5,702.4478423,11.46205556,23.22222222,50.83333333,29.00315789,40.90947368,38.07894737,-1.89701807,3.274957511,4.724,9.473684211,36.10526316,22.78947368,1.669411765,12.74058824,-0.329058823,8.109411765,-16,-0.124020285,13.77777778,-33.17683824
DBA.2J,1,0,6,A15,D2,1,0,6,D2_1_6_0,,16.4074,31.6,62,38.46666667,14.02166667,16.43388889,-3.246666667,-1.181701753,6.1555,10,11.16666667,3.833333333,0.39125,36.61875,10.7545,33.9225,,-0.147921573,13.5,-7.7425
DBA.2J,1,5,6,A16,D2,1,5,6,D2_1_6_5,4.796875,12.47753846,24.92307692,64.15384615,41.28571429,13.60625,17.90666667,-3.454583334,-1.507578248,5.87225,9.875,18.375,10.375,0.757692308,42.07769231,6.614384617,40.37769231,,-0.199426889,13.71428571,-29.30144231
DBA.2J,1,0,14,A17,D2,1,0,14,D2_1_14_0,,9.89075,24,62,36.9,17.59,20.98333333,-2.034,1.523031406,4.8608,7.8,8.6,3,2.3125,42.7825,10.2775,26.18,,-0.147921573,13.5,-7.7425
DBA.2J,1,5,14,A18,D2,1,5,14,D2_1_14_5,430.113125,10.75957143,21.85714286,68.28571429,37.04285714,34.575,18.06875,-1.969583333,1.816764732,5.145,11,30.75,23,1.75375,35.26,-5.198125,11.07625,,-0.199426889,13.71428571,-29.30144231
