gene,module
Ngfr,1
Igsf5,1
Pih1d2,1
Ins2,1
Tmprss2,1
Fap,1
Il12rb1,1
Mmp11,1
Slc26a3,1
Lsr,1
Acp5,1
Col18a1,1
Meox1,1
Sost,1
Dlx3,1
Tnk1,1
Tcea3,1
Gstt1,1
Gstt3,1
Tat,1
Marveld3,1
Smo,1
Tspan33,1
Folr1,1
Slc39a13,1
Angptl4,1
Snx9,1
Pon1,1
Gnmt,1
Bcam,1
Edar,1
Fkbp11,1
Crhr2,1
Inmt,1
Klc4,1
Nqo1,1
Gys1,1
Angptl2,1
Psap,1
Aqp1,1
Corin,1
Ripk4,1
Prlr,1
Apoa2,1
Sqrdl,1
Gpr108,1
Trh,1
Otx1,1
Shpk,1
Tuft1,1
Ggt1,1
Hfe,1
Slc5a6,1
Krt23,1
Ttc25,1
Slc44a4,1
Rab25,1
Rsph14,1
Gnat2,1
X2610028H24Rik,1
Dqx1,1
Prr29,1
Ascl2,1
Slc16a12,1
Zmynd10,1
Slc38a3,1
Epn3,1
Pifo,1
Ebf3,1
Plcd1,1
Kdelr3,1
Cfap161,1
Odc1,1
Plin5,1
Fuz,1
Ubxn11,1
Mogat1,1
Ehf,1
Steap4,1
Tmem190,1
Trpv4,1
Piezo1,1
Ceacam16,1
Elmo3,1
Oc90,1
Clic3,1
Slc25a13,1
Cnksr3,1
Pcolce2,1
Tmem27,1
Lama5,1
Steap1,1
Steap2,1
Dstn,1
Chdh,1
Lbp,1
Stard13,1
Lamp2,1
Sulf1,1
Rbpjl,1
Cd300lg,1
Traf4,1
Tns4,1
Wfdc2,1
Pltp,1
Slc12a7,1
Slc12a4,1
Stard3,1
Cuedc1,1
Adora2b,1
Acadvl,1
Dnah11,1
Mief2,1
Slc25a39,1
Sfrp5,1
Mb,1
Slc22a5,1
Styxl1,1
Dpep1,1
Trip10,1
Cyb561,1
Ccdc170,1
Frk,1
Hey2,1
Cd164,1
Perp,1
Rtn4ip1,1
Smpdl3a,1
Lrriq1,1
10-Sep,1
Mrln,1
X1700040L02Rik,1
Moxd1,1
Cfap54,1
Ntn4,1
Avpr1a,1
Csrp2,1
Mdm1,1
Pofut2,1
Madcam1,1
Wdpcp,1
Ltc4s,1
Upp1,1
Igfbp3,1
Tcn2,1
X4921536K21Rik,1
Arsg,1
Ace,1
Gas2l2,1
X5530401A14Rik,1
Llgl2,1
Tekt1,1
Rhbdf2,1
Kif1c,1
Slc46a1,1
Nxn,1
Fam101b,1
Spata20,1
Dlx4,1
Lrrc46,1
Tmem107,1
Cfap52,1
Ccdc103,1
Coch,1
Pole2,1
Mthfd1,1
Pygl,1
Gsc,1
Plek2,1
Efcab11,1
Tc2n,1
Esrrb,1
Mak,1
Fam217a,1
Eci3,1
Rpp40,1
Fars2,1
Sptlc1,1
Msx2,1
Slc28a3,1
Cep72,1
Lrrc14b,1
