,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28
S103,0.94616,0.60043,0.36909,-0.48319,-0.27688,-0.14737,-0.11125,0.073718,-0.14098,-0.039648,0.88738,0.64675,0.49446,0.043021,0.37805,0.30652,-0.51888,0.48761,0.23155,-0.08055,-0.09226,0.5731,0.16563,0.92054,0.2861,0.1087,0.26271,7.66E-05
S106,-0.52771,-0.32727,-0.55162,-0.78351,-0.45506,-0.61825,-0.60067,-0.71741,-0.90245,-1.1581,0.47857,1.8526,1.1363,-0.15833,0.29586,-0.26564,-0.071374,0.46468,-0.13286,-0.45246,-0.10687,0.65516,0.54641,0.82614,0.093771,-0.12237,-0.11558,-0.55805
S11,0.69342,0.13461,0.88946,-0.50846,-0.36906,-0.22711,-0.28208,0.34548,0.43684,0.41097,0.18502,0.51662,0.0052787,0.83946,0.72625,0.59775,-0.16652,0.27084,-0.64546,-0.23236,-0.24906,-0.6471,-0.25804,-0.54157,-0.44499,-0.37403,-0.75024,-0.19452
S112,-0.83269,-0.30666,-0.43739,0.40045,-0.024053,-0.028273,0.048646,0.041873,0.29794,0.56598,-0.10104,-0.27348,0.054293,0.60701,0.59669,0.74219,-0.4277,0.11136,-0.50864,-0.092933,-0.31236,-0.70498,-0.23571,-0.76857,-0.52269,-0.25906,-0.75454,-0.05525
S114,0.23391,-0.051383,0.084771,0.14234,-0.030686,-0.073606,-0.058281,0.11957,0.064663,0.19361,0.01275,-0.24016,-0.061292,0.12719,0.1291,0.14473,-0.56779,-0.19096,-0.23037,-0.093861,-0.087579,-0.36591,-0.091639,-0.18418,-0.24872,-0.10796,-0.19953,0.083324
S12,0.69925,-0.14017,-0.08085,0.33328,-0.14696,-0.10635,-0.22753,0.34795,0.77134,0.41826,-0.53789,-0.51376,-0.66791,0.42065,-0.28317,-0.012784,-0.10095,-0.24123,-0.32943,0.12829,-0.064447,-0.7105,-0.33322,-0.81532,-0.5299,-0.30701,-0.40836,0.139
S120,0.55604,0.34255,-0.13723,0.52325,0.15357,0.20164,0.69384,0.53951,0.41183,0.45268,0.10831,-0.13237,-0.3644,0.26459,0.32366,-0.02504,-0.46025,-0.38163,-0.57981,-0.42446,-0.34772,-0.74371,-0.72649,-0.59992,-0.47957,-0.2567,-0.77847,-0.5874
S124,-0.34694,-0.31582,0.53653,-0.40497,-0.15225,-0.20933,-0.51819,-0.21246,0.16346,0.056058,-0.17364,-0.41881,0.19512,0.015221,-0.19324,0.33854,-0.099006,0.049985,0.37715,0.47181,0.086543,0.37704,0.6691,0.16213,0.24567,0.26809,0.55718,0.76793
S13,-0.39934,-1.2094,-0.66343,-0.6116,-0.49873,-0.41088,-1.2641,-0.69702,0.05218,-0.63746,-1.3466,-0.8821,-0.69097,-0.05373,-0.72291,-0.35581,-0.69121,-0.40099,1.1648,1.396,1.3865,0.51985,0.89405,-0.1018,0.47667,0.53019,1.1029,1.1909
S138,0.84499,0.25748,-0.06837,0.61232,0.16008,0.17336,0.58951,0.35819,0.21954,0.10291,-0.34672,-0.58772,-0.89044,-0.36688,-0.44378,-0.69416,-0.45309,-0.60186,-0.36125,-0.37309,-0.1984,-0.56175,-0.75916,-0.66448,-0.45601,-0.21439,-0.50117,-0.57055
S149,-0.61769,-0.4238,0.30479,-0.58989,-0.3505,-0.32729,-0.6883,-0.15203,0.53195,0.37359,-0.29707,-0.18047,0.12228,0.68687,0.12342,0.72764,-0.29402,0.25376,-0.085477,0.25426,-0.087819,-0.11636,0.17698,-0.48977,-0.13119,-0.035696,-0.14612,0.36238
S16,-0.028812,-0.32723,-0.28263,0.026163,-0.25299,-0.25343,-0.19542,-0.22055,0.28528,-0.093022,-0.27293,-0.12068,-0.017928,0.176,0.054618,0.15709,-0.52541,-0.19768,-0.19475,0.1985,0.078889,-0.2213,0.15327,-0.21264,-0.2741,-0.031596,-0.17929,0.22813
S162,0.1267,0.21322,-0.3989,-0.52814,-0.43399,-0.22213,-0.35821,-0.37562,-0.06757,0.23627,0.66325,-0.096361,0.76244,0.18203,0.14954,0.86988,-0.22331,0.48643,-0.63475,-0.33866,-0.44509,-0.49484,0.1939,0.0028982,-0.36361,-0.21302,-0.52094,0.16167
S165,-0.017264,0.05891,-0.18442,0.20451,-0.16353,-0.16718,0.32779,-0.26815,-0.032186,0.28121,0.21466,-0.46538,0.34034,-0.14238,-0.083816,0.52883,-0.56991,-0.068939,-0.42926,-0.20083,-0.28202,-0.6261,0.24941,-0.11566,-0.39925,-0.3132,-0.45212,0.21704
S17,-0.62912,-0.35176,-0.58192,-0.63619,-0.57518,-0.40023,-0.65614,-0.041518,0.65038,0.62365,-0.16433,0.091151,0.22499,1.124,0.52324,1.0691,-0.80165,0.61131,-0.19163,0.61077,-0.064121,-0.1441,0.29869,-0.41837,-0.17518,-0.11205,-0.17204,0.51526
S22,0.042808,-0.24266,-0.40519,-0.58621,-0.38092,-0.35515,-0.7016,-0.01381,0.20963,0.26673,-0.12411,-0.18606,0.19846,0.33625,-0.044221,0.5187,-0.91281,0.23395,0.28281,0.60471,0.36651,0.30283,0.47327,0.20162,0.20978,0.1632,0.53584,0.61051
S23,0.32216,-0.13575,-0.48651,-0.50682,-0.42842,-0.41149,-0.34994,0.22063,0.45594,0.3004,-0.038878,-0.043151,-0.044907,0.53943,0.25074,0.39292,-0.76058,0.23592,-0.44145,-0.04704,-0.21558,-0.36161,-0.095809,-0.50679,-0.34097,-0.25364,-0.49197,0.098948
S28,0.59979,0.5368,-0.20975,0.55995,0.040172,0.074615,0.79497,0.24991,0.40539,0.2522,0.17621,-0.275,0.11423,0.0031473,-0.43307,0.12194,-0.69449,-0.34006,-0.3059,-0.20459,-0.15021,-0.33565,0.16245,0.23252,-0.34184,-0.17777,-0.37973,0.028479
S31,-0.73782,-1.0048,-0.54267,0.26901,-0.039011,-0.036937,-0.48393,-0.67354,-0.30385,-1.105,-1.3478,-0.39302,-0.66005,-0.69686,-1.2173,-1.1381,-0.51894,-0.59515,1.1512,0.6361,1.1085,0.71617,0.47322,0.24207,0.63141,0.59195,1.0172,0.10614
S32,-0.92894,-1.082,-0.72111,0.25783,-0.02188,-0.034732,-0.70633,-0.72276,-0.29966,-0.73718,-1.1793,-0.72671,-0.39004,-0.55506,-1.278,-0.64442,-0.40283,-0.39079,1.3656,0.96509,0.90926,0.94236,0.74057,0.21626,0.76527,0.47416,1.3668,0.73857
S33,0.10532,-0.39298,-0.20633,-0.65967,-0.47344,-0.3879,-0.82504,-0.26119,-0.085643,-0.20215,-0.049341,0.11047,0.088391,0.14696,0.30497,0.073036,1.1043,0.44831,0.0091844,-0.073415,0.034305,0.050761,-0.0679,-0.12317,-0.044531,0.026547,0.033276,-0.0073773
S40,0.4997,0.31638,0.58125,-0.48651,-0.17857,-0.18936,-0.27515,-0.034142,-0.40834,-0.29803,0.55867,0.13351,0.41771,-0.3167,-0.0020439,0.10251,-1.0442,0.065973,0.20761,-0.24043,0.12321,0.29754,0.086658,0.54526,0.20801,0.035997,0.18119,-0.12023
S41,-0.69571,0.078289,-0.41033,0.5969,0.068284,0.14788,0.89194,0.15746,0.32995,0.0047755,-0.16235,-0.25568,-0.35682,0.023458,-0.041528,-0.16717,-0.63424,-0.37435,-0.60113,-0.4553,-0.16732,-0.73717,-0.58831,-0.7226,-0.55784,-0.33402,-0.75777,-0.67533
S42,0.53807,0.26956,-0.23948,0.95188,0.27964,0.22051,1.0483,0.32668,0.11466,-0.39372,-0.42635,-0.43856,-1.0029,-0.70196,-0.64732,-1.1561,-0.34844,-0.77598,-0.44867,-0.6893,-0.23057,-0.48373,-0.92258,-0.62648,-0.49744,-0.33818,-0.60785,-1.1209
S43,1.1455,0.48392,1.9662,-0.28236,0.014792,0.1086,-0.43115,0.35736,0.48906,0.58661,0.69637,0.63506,0.92913,0.54751,0.27863,0.69983,-0.82884,0.52661,1.3189,1.4213,0.74072,1.4609,1.1075,1.5504,1.2253,0.79359,1.7375,1.3571
S46,-0.749,0.13183,-0.4101,-0.61469,-0.47969,-0.35402,-0.13549,-0.15749,-0.16947,-0.068126,0.71809,0.96682,1.0398,0.56406,0.66084,0.79943,-0.29801,0.71724,-0.46114,-0.2493,-0.28676,-0.1741,0.4541,0.19862,-0.14655,-0.18532,-0.47427,0.0062429
S47,-0.56762,0.042887,0.42565,-0.6611,-0.42062,-0.30607,-0.31623,-0.10383,0.07892,0.087988,0.60332,0.92478,0.68009,0.65803,1.2145,0.74608,-0.58243,0.48655,-0.34548,-0.049988,-0.16637,-0.089579,0.13019,0.054389,-0.078557,-0.14825,-0.35487,-0.11879
S56,-1.1411,-1.0496,-0.76482,-0.83023,-0.60471,-0.53645,-1.1005,-1.3206,-1.4657,-2.0563,-0.54471,1.3414,0.5021,-0.96904,-0.8443,-1.2072,-0.49951,0.17362,1.334,0.26386,1.0591,1.7197,1.2512,1.2888,1.1228,0.46614,1.3153,-0.12512
S57,0.39134,0.17493,0.50972,-0.59487,-0.31784,-0.27546,-0.46594,-0.1442,-0.42906,-0.24019,0.64708,1.0932,0.895,0.088757,0.38567,0.21663,-0.9665,0.35591,0.30639,0.060825,0.04473,0.83272,0.53945,0.9478,0.39352,0.043978,0.46021,0.090277
S58,0.33336,-0.82042,-0.47291,0.7981,0.087729,0.01998,-0.14336,0.46297,1.4538,0.47495,-1.7297,-1.3038,-1.7411,0.42196,-0.7744,-0.7216,-0.58722,-1.0438,-0.28826,0.253,0.08693,-0.86483,-0.96943,-1.6257,-0.78725,-0.12789,-0.57913,-0.28786
S60,-0.78884,-0.16446,0.098997,-0.26897,-0.26131,-0.23058,-0.27769,-0.50647,-1.091,-0.81659,0.38862,0.5565,0.49252,-0.5777,-0.05994,-0.3218,6.4392,0.59865,0.13541,-0.41932,-0.13355,0.56019,0.018769,0.51243,0.17011,-0.012003,0.14485,-0.43293
S61,-0.38285,-0.70539,-0.29335,0.723,0.30169,0.19762,-0.042447,-0.34499,0.14491,-0.46719,-1.1903,-0.62567,-0.37484,-0.33835,-1.208,-0.50806,-0.67309,-0.47397,0.85077,0.79068,0.75427,0.36208,0.79469,0.14092,0.30162,0.39175,0.7037,0.61755
S62,-1.2863,-1.2727,-0.93837,-0.70497,-0.56299,-0.47945,-1.1202,-1.2109,-0.94948,-1.1267,-0.8515,-0.42065,0.53668,-0.66717,-1.2695,-0.12666,-0.67869,-0.097566,1.3859,1.0698,1.0292,1.0681,1.7856,0.66518,0.94919,0.30598,1.555,1.3169
S64,0.61361,0.15616,0.0029458,-0.62972,-0.42866,-0.40084,-0.39694,-0.36509,-0.58993,-0.66856,0.33883,0.1913,0.28097,-0.51979,-0.29546,-0.22714,-0.62151,0.019885,-0.36581,-0.59076,-0.16377,-0.13355,-0.016754,0.175,-0.25495,-0.34604,-0.40099,-0.53215
S69,0.53222,0.73154,0.33037,1.2449,0.93753,0.73017,1.8119,0.63591,0.026147,0.15068,-0.16295,-0.49606,-1.0342,-0.77236,-0.34817,-1.07,-0.66187,-0.83138,-0.2907,-0.52117,-0.43666,-0.4154,-1.1933,-0.38653,-0.4496,-0.17125,-0.42724,-0.77779
S70,-0.76681,-0.08969,-0.45359,-0.64366,-0.35587,-0.21853,-0.55174,-0.32163,-0.76525,-0.37957,0.58084,0.4728,0.73271,-0.26505,0.27346,0.20807,0.92913,0.3857,0.77782,0.10609,0.021273,1.0339,0.3401,0.7984,0.58962,0.43764,0.72878,0.51945
