Module ID,Gene Symbol,Identifier
m1,RAB4B,1
m1,RAD23A,2
m1,ARFGAP1,3
m1,GLI4,4
m1,PSMB10,5
m1,SMARCAL1,6
m1,PCBP3,7
m1,COMMD9,8
m1,TMEM86B,9
m1,RP11-416A17.6,10
m1,VAC14,11
m1,OSBPL5,12
m1,AS3MT,13
m1,SUGP1,14
m1,TYSND1,15
m1,ITGB3BP,16
m1,WDR90,17
m1,NCAPH2,18
m1,AZI1,19
m1,LIMD2,20
m1,MICAL1,21
m1,UQCRC1,22
m1,ENDOV,23
m1,RP11-69E11.4,24
m1,RTEL1-TNFRSF6B,25
m1,RP11-791G16.2,26
m1,SYCE1L,27
m1,SPNS1,28
m1,DYRK1B,29
m1,TOR1AIP2,30
m1,ALG1,31
m1,FUT8,32
m1,PKIG,33
m1,FAM134C,34
m1,RP11-375B1.3,35
m1,RP11-439E19.3,36
m1,ODF2L,37
m1,AC007347.1,38
m1,HERC2P8,39
m1,KRBA1,40
m1,FAM98C,41
m1,TMEM180,42
m1,MADCAM1,43
m1,OXLD1,44
m1,TSEN2,45
m1,ZSCAN5A,46
m1,UPP1,47
m1,ARHGAP33,48
m1,C19orf53,49
m1,TMEM222,50
m1,TRMU,51
m1,PSMD1,52
m1,TRMT6,53
m1,JMJD7,54
m1,RNF126,55
m1,RPS6KB2,56
m1,C19orf60,57
m1,RP11-252A24.7,58
m1,CPSF3,59
m1,DSN1,60
m1,MTHFR,61
m1,SLC37A4,62
m1,VPS28,63
m1,ATAD3B,64
m1,RP11-259K21.3,65
m1,USF1,66
m1,TMEM160,67
m1,DLL3,68
m1,EXOC7,69
m1,WASH2P,70
m1,TRMT2A,71
m1,PNMT,72
m1,COX5B,73
m1,RP11-353N4.1,74
m1,C19orf47,75
m1,SNRPD2,76
m1,PRPF40B,77
m1,RP11-254F7.2,78
m1,PRMT7,79
m1,BBS5,80
m1,UBXN6,81
m1,PCIF1,82
m1,NAPRT1,83
m1,TMEM44,84
m1,NTNG2,85
m1,GPX4,86
m1,C5orf55,87
m1,TRIM33,88
m1,RP11-66D17.5,89
m1,RP11-333E1.1,90
m1,NUDT8,91
m1,TCTN2,92
m1,ZNF446,93
m1,GAMT,94
m1,C11orf20,95
m1,HECTD3,96
m1,NDUFS3,97
m1,DPM2,98
m1,NOC4L,99
m1,SLC38A7,100
m1,IFI6,101
m1,RP11-44N21.1,102
m1,C20orf201,103
m1,IFT27,104
m1,CHST5,105
m1,RP11-90D4.2,106
m1,MOK,107
m1,XYLT2,108
m1,TNNT2,109
m1,CRIP3,110
m1,RPF2,111
m1,RRP7A,112
m1,FRMD4A,113
m1,MEIS3,114
m1,POLRMT,115
m1,TSTA3,116
m1,SRRM3,117
m1,AP4M1,118
m1,TRMT61A,119
m1,PPIL2,120
m1,FAAH,121
m1,BAK1,122
m1,RP11-680G24.5,123
m1,AL591845.1,124
m1,MAMSTR,125
m1,RHOT2,126
m1,RP11-473M20.14,127
m1,9-Mar,128
m1,ZNF500,129
m1,TTC40,130
m1,C16orf7,131
m1,FAM212A,132
m1,VPREB3,133
m1,C1orf233,134
m1,AMDHD2,135
m1,DTNB,136
m1,NNMT,137
m1,ATP5D,138
m1,DNAJC11,139
m1,ZNF512B,140
m1,UPK3BL,141
m1,CHAF1A,142
m1,IL17RE,143
m1,INO80B,144
m1,B3GALT4,145
m1,MOGS,146
m1,CTD-2286N8.2,147
m1,AL162389.1,148
m1,ASPSCR1,149
m1,SAPCD1-AS1,150
m1,C9orf37,151
m1,RP5-994D16.3,152
m1,RP11-176H8.1,153
m1,CYGB,154
m1,SPAG4,155
m1,DCTN1,156
m1,NAT10,157
m1,NACAD,158
m1,MEG9,159
m1,SFXN4,160
m1,REEP6,161
m1,SCNN1D,162
m1,APBB1,163
m1,LIG1,164
m1,FLYWCH1,165
m1,TMEM249,166
m1,UBE2M,167
m1,TELO2,168
m1,FGF22,169
m1,hsa-mir-940,170
m1,MZT2A,171
m1,TCEB2,172
m1,CTA-313A17.5,173
m1,RP11-229P13.20,174
m1,POMGNT1,175
m1,TCEA2,176
m1,C19orf55,177
m1,ATRIP,178
m1,AARSD1,179
m1,RP11-111M22.3,180
m1,FANCA,181
m1,NDUFA13,182
m1,RP11-277L2.3,183
m1,ZNF354A,184
m1,ZNF668,185
m1,RP11-398K22.12,186
m1,MXD3,187
m1,SRM,188
m1,AC023490.1,189
m1,MYH7B,190
m1,RP11-1000B6.3,191
m1,TOP3A,192
m1,CTD-2228K2.7,193
m1,FAAH2,194
m1,PQBP1,195
m1,C14orf80,196
m1,ANAPC15,197
m1,RECQL5,198
m1,CAPNS1,199
m1,ZP3,200
m1,MVK,201
m1,SLC25A34,202
m1,ZDHHC1,203
m1,CTD-2313N18.5,204
m1,CIB2,205
m1,RDH13,206
m1,C1orf134,207
m1,GTPBP3,208
m1,TEX264,209
m1,SNTG1,210
m1,ZSCAN1,211
m1,C14orf79,212
m1,CTC-228N24.3,213
m1,CNOT10,214
m1,HES4,215
m1,A1BG,216
m1,PIF1,217
m1,ZBTB48,218
m1,RP11-400F19.18,219
m1,SNHG11,220
m1,CCHCR1,221
m1,DECR2,222
m1,COPS7B,223
m1,UBAP1L,224
m1,MBOAT1,225
m1,RP11-455F5.3,226
m1,FAM214B,227
m1,BCS1L,228
m1,TMEM52,229
m1,CCDC78,230
m1,RMRP,231
m1,RP11-1055B8.6,232
m1,UBOX5,233
m1,ATP5I,234
m1,TUBGCP2,235
m1,ACTB,236
m1,C6orf136,237
m1,QPCTL,238
m1,ISG15,239
m1,MYL6B,240
m1,HERC2P5,241
m1,LINC00338,242
m1,CTD-3162L10.1,243
m1,C2orf81,244
m1,ASB13,245
m1,CITED4,246
m1,GPATCH1,247
m1,NUBP2,248
m1,JAG2,249
m1,FXYD7,250
m1,PCDH19,251
m1,MPG,252
m1,MVD,253
m1,TMEM42,254
m1,AC007390.5,255
m1,CHTF18,256
m1,P2RX6P,257
m1,DYNC1H1,258
m1,GCAT,259
m1,CTD-2020K17.4,260
m1,EIF3C,261
m1,RPL7AP26,262
m1,ERCC2,263
m1,C2orf27A,264
